sensor_1R,sensor_2R,sensor_3R,sensor_4R,sensor_5R,sensor_1L,sensor_3L,sensor_4L,sensor_5L,acel1,giro1,acel2,giro2,gesto
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.17,0.15,-9.2,0.23,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.1,-9.4,0.2,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77,0.07,-9.48,0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58,0.05,-9.45,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.65,-0.03,-9.23,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.81,-0.1,-9.05,-0.23,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-0.08,-8.93,-0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96,-0.09,-8.73,-0.24,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,-0.09,-8.62,-0.22,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.01,-0.05,-8.61,-0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.02,-0.0,-8.89,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.86,0.02,-8.98,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,-0.04,-9.14,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.52,-0.13,-9.0,-0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,-0.1,-8.83,-0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-0.11,-8.72,-0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.58,-0.04,-8.15,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.24,-0.02,-10.34,-0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.93,-0.48,-9.9,0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71,-0.55,-9.09,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.99,-0.06,-8.68,0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.36,0.28,-8.85,0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.36,0.3,-9.3,0.31,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96,0.2,-9.52,0.18,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.19,0.15,-9.31,0.18,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.91,0.15,-9.05,0.18,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.68,0.2,-9.04,0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.67,0.18,-8.91,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.72,0.08,-8.88,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.64,0.01,-8.88,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.01,-9.09,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.68,-0.06,-9.0,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58,-0.19,-8.96,-0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.62,-0.24,-8.94,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.73,-0.21,-8.99,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.88,-0.16,-9.17,-0.15,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.09,-0.11,-9.41,-0.11,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.11,-0.04,-9.3,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.93,0.01,-9.09,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75,0.05,-9.01,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.64,0.05,-9.05,0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.67,0.02,-9.17,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.79,-0.01,-9.32,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.73,-0.03,-9.19,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.72,-0.0,-9.16,0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.76,-0.0,-9.07,0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.84,-0.01,-8.92,-0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.03,0.02,-8.9,-0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.98,0.08,-8.87,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.81,0.09,-8.84,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.66,0.07,-8.8,-0.03,Oi
